insertId,labels.build_step,labels.build_tags,logName,receiveLocation,receiveTimestamp,resource.labels.build_id,resource.labels.build_trigger_id,resource.labels.project_id,resource.type,severity,textPayload,timestamp
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2845","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.826030841Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"": [0m","'2025-06-24T03:37:30.804319712Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2844",MAIN,"'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.826030841Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'ERROR: build step 0 ""gcr.io/cloud-builders/docker"" failed: step exited with non-zero status: 1","'2025-06-24T03:37:30.708201626Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2843",MAIN,"'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.826030841Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,ERROR,"'2025-06-24T03:37:30.708186596Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2842",MAIN,"'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.826030841Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Finished Step #0 - ""Build""","'2025-06-24T03:37:30.708100786Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2841","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.826030841Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"": The command '/bin/sh -c chmod +x startup_check.py' returned a non-zero code: 1","'2025-06-24T03:37:30.500573125Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2840","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.427519698Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"": [91mchmod: cannot access 'startup_check.py': No such file or directory","'2025-06-24T03:37:30.329970130Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2839","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.427519698Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"":  ---> Running in c4fb7d5701d8","'2025-06-24T03:37:30.048869898Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2838","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.427519698Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"": Step 9/16 : RUN chmod +x startup_check.py","'2025-06-24T03:37:30.015835990Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2837","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.427519698Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"":  ---> 74ad08ead8de","'2025-06-24T03:37:30.015834750Z"
"'aeae59c1-0d70-4f73-9a35-d14ce65cacee-2836","'Step #0 - ""Build""","'gcp-cloud-build-deploy-cloud-run,gcp-cloud-build-deploy-cloud-run-managed,mos-atomantstudios,trigger-b0d8176e-56a3-4977-8eba-bfc911a39223","'projects/mos-atomantstudios/logs/cloudbuild",,"'2025-06-24T03:37:30.427519698Z","'aeae59c1-0d70-4f73-9a35-d14ce65cacee","'b0d8176e-56a3-4977-8eba-bfc911a39223","'mos-atomantstudios",build,INFO,"'Step #0 - ""Build"": Removing intermediate container 7f2fa440d67b","'2025-06-24T03:37:30.015823170Z"
